epoch,accuracy,loss,lr,mse
0,0.2868284285068512,0.24542297422885895,5e-05,0.24542297422885895
1,0.34573936462402344,0.11884593963623047,5e-05,0.11884593963623047
2,0.3640408217906952,0.11756903678178787,5e-05,0.11756903678178787
3,0.35579749941825867,0.11690644919872284,5e-05,0.11690644919872284
4,0.3489815890789032,0.11514850705862045,5e-05,0.11514850705862045
5,0.3430606722831726,0.07032548636198044,5e-05,0.07032548636198044
6,0.3451191484928131,0.06130924075841904,5e-05,0.06130924075841904
7,0.35163334012031555,0.055105265229940414,5e-05,0.055105265229940414
8,0.3502742648124695,0.048823282122612,5e-05,0.048823282122612
9,0.35228121280670166,0.04181952774524689,5e-05,0.04181952774524689
10,0.35060811042785645,0.035291638225317,5e-05,0.035291638225317
11,0.36449766159057617,0.030446911230683327,5e-05,0.030446911230683327
12,0.35558202862739563,0.028507398441433907,5e-05,0.028507398441433907
13,0.3634105324745178,0.024828653782606125,5e-05,0.024828653782606125
14,0.35948726534843445,0.02490454912185669,5e-05,0.02490454912185669
15,0.3737330734729767,0.0242973193526268,5e-05,0.0242973193526268
16,0.3844526410102844,0.022386524826288223,5e-05,0.022386524826288223
17,0.38361868262290955,0.021348148584365845,5e-05,0.021348148584365845
18,0.36749404668807983,0.02089970000088215,5e-05,0.02089970000088215
19,0.3884281814098358,0.019834209233522415,5e-05,0.019834209233522415
20,0.3839758336544037,0.019293202087283134,5e-05,0.019293202087283134
21,0.3913136124610901,0.01824749819934368,5e-05,0.01824749819934368
22,0.38845202326774597,0.01813610829412937,5e-05,0.01813610829412937
23,0.3842383325099945,0.017561661079525948,5e-05,0.017561661079525948
24,0.38038110733032227,0.017357580363750458,5e-05,0.017357580363750458
25,0.3947643041610718,0.01777740940451622,5e-05,0.01777740940451622
26,0.39694198966026306,0.01600687950849533,5e-05,0.01600687950849533
27,0.39522215723991394,0.014995330944657326,5e-05,0.014995330944657326
28,0.3907129168510437,0.015434975735843182,5e-05,0.015434975735843182
29,0.37725207209587097,0.015260615386068821,5e-05,0.015260615386068821
30,0.37831541895866394,0.014592863619327545,5e-05,0.014592863619327545
31,0.39390769600868225,0.0144262183457613,5e-05,0.0144262183457613
32,0.3730219304561615,0.014739871956408024,5e-05,0.014739871956408024
33,0.3794970214366913,0.013310130685567856,5e-05,0.013310130685567856
34,0.37760093808174133,0.013516557402908802,5e-05,0.013516557402908802
35,0.3802686631679535,0.012987135909497738,5e-05,0.012987135909497738
36,0.3812638819217682,0.012615615501999855,5e-05,0.012615615501999855
37,0.36142775416374207,0.012599349953234196,5e-05,0.012599349953234196
38,0.35460203886032104,0.012350015342235565,5e-05,0.012350015342235565
39,0.3674985468387604,0.01198063138872385,5e-05,0.01198063138872385
40,0.3670257031917572,0.011842267587780952,5e-05,0.011842267587780952
41,0.36478111147880554,0.011529123410582542,5e-05,0.011529123410582542
42,0.3697139024734497,0.011365736834704876,5e-05,0.011365736834704876
43,0.3683425188064575,0.011409020982682705,5e-05,0.011409020982682705
44,0.3777608573436737,0.01067417673766613,5e-05,0.01067417673766613
45,0.36710071563720703,0.01097584143280983,5e-05,0.01097584143280983
46,0.3742769956588745,0.010268518701195717,5e-05,0.010268518701195717
47,0.37544819712638855,0.010358578525483608,5e-05,0.010358578525483608
48,0.3689999580383301,0.01009773463010788,5e-05,0.01009773463010788
49,0.37186306715011597,0.010005408897995949,5e-05,0.010005408897995949
50,0.36522945761680603,0.010149097070097923,5e-05,0.010149097070097923
51,0.36574897170066833,0.01055612787604332,5e-05,0.01055612787604332
52,0.385587602853775,0.010395068675279617,5e-05,0.010395068675279617
53,0.4219808280467987,0.008459472097456455,1e-05,0.008459472097456455
54,0.4124755859375,0.008256049826741219,1e-05,0.008256049826741219
55,0.40943288803100586,0.007983589544892311,1e-05,0.007983589544892311
56,0.4087253510951996,0.007937856018543243,1e-05,0.007937856018543243
57,0.40645498037338257,0.00791370403021574,1e-05,0.00791370403021574
58,0.4074358344078064,0.007831414230167866,1e-05,0.007831414230167866
59,0.4103802442550659,0.007702663540840149,1e-05,0.007702663540840149
60,0.4119214713573456,0.0075556375086307526,1e-05,0.0075556375086307526
61,0.4144825339317322,0.007600375451147556,1e-05,0.007600375451147556
62,0.41610196232795715,0.007585426326841116,1e-05,0.007585426326841116
63,0.4146314859390259,0.007451238576322794,1e-05,0.007451238576322794
64,0.41516149044036865,0.007627665996551514,1e-05,0.007627665996551514
65,0.4182038903236389,0.007448369637131691,1e-05,0.007448369637131691
66,0.4167807102203369,0.007393913809210062,1e-05,0.007393913809210062
67,0.4130637049674988,0.007361012510955334,1e-05,0.007361012510955334
68,0.42175978422164917,0.006974300369620323,2e-06,0.006974300369620323
69,0.4193483889102936,0.006849690806120634,2e-06,0.006849690806120634
70,0.4203457534313202,0.006859606131911278,2e-06,0.006859606131911278
71,0.4181348383426666,0.00681822095066309,2e-06,0.00681822095066309
72,0.42003628611564636,0.006820129230618477,2e-06,0.006820129230618477
73,0.4174667298793793,0.006861461326479912,2e-06,0.006861461326479912
74,0.41826799511909485,0.006787924561649561,4e-07,0.006787924561649561
75,0.4183025658130646,0.006733071058988571,4e-07,0.006733071058988571
76,0.4190482199192047,0.00675621535629034,4e-07,0.00675621535629034
77,0.4191349744796753,0.006839856971055269,4e-07,0.006839856971055269
78,0.4177461862564087,0.006749176885932684,4e-07,0.006749176885932684
79,0.4185587465763092,0.006728579755872488,4e-07,0.006728579755872488
80,0.419656366109848,0.006706174463033676,8e-08,0.006706174463033676
81,0.41823288798332214,0.0066763656213879585,8e-08,0.0066763656213879585
82,0.4199937880039215,0.0066757528111338615,8e-08,0.0066757528111338615
83,0.41874584555625916,0.006691538728773594,8e-08,0.006691538728773594
84,0.4187391996383667,0.006721802521497011,1.6e-08,0.006721802521497011
85,0.4181828796863556,0.0067707234993577,1.6e-08,0.0067707234993577
86,0.4196206331253052,0.006687737535685301,1.6e-08,0.006687737535685301
87,0.4187394678592682,0.006743259262293577,1.6e-08,0.006743259262293577
88,0.4190191924571991,0.0067168669775128365,3.1999998e-09,0.0067168669775128365
89,0.41919565200805664,0.006696570198982954,3.1999998e-09,0.006696570198982954
90,0.41902872920036316,0.006842788774520159,3.1999998e-09,0.006842788774520159
