epoch,accuracy,loss,lr,mae
0,0.3879534602165222,0.4302158057689667,0.00015,0.4302158057689667
1,0.36698782444000244,0.4094635844230652,0.00015,0.4094635844230652
2,0.28630656003952026,0.29423874616622925,0.00015,0.29423874616622925
3,0.27870887517929077,0.22751368582248688,0.00015,0.22751368582248688
4,0.29389065504074097,0.2172936350107193,0.00015,0.2172936350107193
5,0.30205363035202026,0.18694305419921875,0.00015,0.18694305419921875
6,0.3186725378036499,0.13163602352142334,0.00015,0.13163602352142334
7,0.32940274477005005,0.11923377215862274,0.00015,0.11923377215862274
8,0.3745291531085968,0.12100061029195786,0.00015,0.12100061029195786
9,0.3719526529312134,0.10839670151472092,0.00015,0.10839670151472092
10,0.36477431654930115,0.11035644263029099,0.00015,0.11035644263029099
11,0.3795051574707031,0.10059305280447006,0.00015,0.10059305280447006
12,0.38157856464385986,0.10055260360240936,0.00015,0.10055260360240936
13,0.3765362501144409,0.09940788894891739,0.00015,0.09940788894891739
14,0.3920045793056488,0.09599102288484573,0.00015,0.09599102288484573
15,0.3695289194583893,0.09790194779634476,0.00015,0.09790194779634476
16,0.3673863112926483,0.09218129515647888,0.00015,0.09218129515647888
17,0.38151881098747253,0.08860228210687637,0.00015,0.08860228210687637
18,0.379060834646225,0.08996918052434921,0.00015,0.08996918052434921
19,0.37076669931411743,0.09042443335056305,0.00015,0.09042443335056305
20,0.37071532011032104,0.09149239212274551,0.00015,0.09149239212274551
21,0.3911270201206207,0.08302441239356995,0.00015,0.08302441239356995
22,0.39133062958717346,0.08545134216547012,0.00015,0.08545134216547012
23,0.39163023233413696,0.08373288810253143,0.00015,0.08373288810253143
24,0.38450655341148376,0.08054289221763611,0.00015,0.08054289221763611
25,0.3834030032157898,0.08000247180461884,0.00015,0.08000247180461884
26,0.4006783068180084,0.079349085688591,0.00015,0.079349085688591
27,0.4064958393573761,0.0850968211889267,0.00015,0.0850968211889267
28,0.4149622321128845,0.07659415155649185,0.00015,0.07659415155649185
29,0.3977676331996918,0.07410614937543869,0.00015,0.07410614937543869
30,0.397501677274704,0.07358035445213318,0.00015,0.07358035445213318
31,0.3994929790496826,0.0754665732383728,0.00015,0.0754665732383728
32,0.40491095185279846,0.07088789343833923,0.00015,0.07088789343833923
33,0.3944600522518158,0.07552888244390488,0.00015,0.07552888244390488
34,0.4070082902908325,0.07276508957147598,0.00015,0.07276508957147598
35,0.3906468152999878,0.07705642282962799,0.00015,0.07705642282962799
36,0.4024847745895386,0.07081367820501328,0.00015,0.07081367820501328
37,0.42626523971557617,0.05950848013162613,3.0000001e-05,0.05950848013162613
38,0.4329870641231537,0.05750667676329613,3.0000001e-05,0.05750667676329613
39,0.43469497561454773,0.05639877915382385,3.0000001e-05,0.05639877915382385
40,0.4333954155445099,0.05645797774195671,3.0000001e-05,0.05645797774195671
41,0.4400120973587036,0.05602864921092987,3.0000001e-05,0.05602864921092987
42,0.43806731700897217,0.05533560737967491,3.0000001e-05,0.05533560737967491
43,0.43761247396469116,0.05485944822430611,3.0000001e-05,0.05485944822430611
44,0.44150522351264954,0.0564880296587944,3.0000001e-05,0.0564880296587944
45,0.44095733761787415,0.054674699902534485,3.0000001e-05,0.054674699902534485
46,0.4429176151752472,0.05524836853146553,3.0000001e-05,0.05524836853146553
47,0.4384763538837433,0.054680049419403076,3.0000001e-05,0.054680049419403076
48,0.4440246820449829,0.05284133926033974,3.0000001e-05,0.05284133926033974
49,0.4483638107776642,0.053649671375751495,3.0000001e-05,0.053649671375751495
