Epoch,gen_loss,disc_loss
1,9.161692,0.019863969
2,11.704038,0.00047598014
3,12.038222,0.0002885284
4,12.27436,0.00023722711
5,12.986192,0.13452254
6,12.813361,0.0004093543
7,13.017071,0.0005874746
8,13.231058,0.00034569847
9,13.497947,0.00020421321
10,13.983401,0.00011831482
11,14.316302,0.00011558165
12,14.822824,0.00011716885
13,14.774161,6.076398e-05
14,14.892576,6.27703e-05
15,15.322783,5.1213923e-05
16,15.558679,5.095599e-05
17,15.456639,3.3383207e-05
18,15.669761,4.2924516e-05
19,15.885482,5.1127947e-05
20,16.245422,3.6726888e-05
21,16.47349,4.233824e-05
22,16.527441,3.827923e-05
23,10.75087,0.16950421
24,12.057414,0.0016654277
25,12.177403,0.0004337132
26,12.159887,0.00051353074
27,11.029709,0.040468726
28,12.233021,0.0075404868
29,9.57504,0.056866787
30,10.138287,0.0044010235
31,12.001408,0.014790966
32,12.028504,0.0224997
33,12.634464,0.009936277
34,15.313074,0.024811588
35,15.241743,0.0069840155
36,14.035746,0.030337775
37,12.71035,0.01882943
38,12.122192,0.063861825
39,12.299708,0.0054189647
40,13.325472,0.00505714
41,13.75589,0.0064784004
42,13.590137,0.0032842243
43,14.660752,0.0021635122
44,12.301746,0.14806329
45,14.145778,0.004634926
46,14.397028,0.010469997
47,14.150768,0.02587646
48,16.216114,0.040522836
49,11.57626,0.08857599
50,12.17122,0.01422737
51,13.133894,0.008559973
52,12.729059,0.062592596
53,12.64829,0.007328066
54,14.503515,0.038453504
55,17.526512,0.010493536
56,15.869606,0.09702356
57,15.584431,0.016406748
58,14.176172,0.05728917
59,11.60063,0.057630718
60,14.79673,0.10235715
61,15.833033,0.052755184
62,14.408887,0.014717698
63,12.898897,0.01578128
64,13.031248,0.007173185
65,12.548782,0.11763771
66,11.375014,0.059234437
67,14.445227,0.006511012
68,13.437926,0.11057697
69,13.132015,0.038264394
70,13.761659,0.041882604
71,13.479014,0.0512182
72,15.46367,0.035860654
73,14.972433,0.033481494
74,15.321462,0.010031962
75,16.774979,0.021823615
76,16.413965,0.019879688
77,17.809774,0.09309955
78,13.703272,0.12177297
79,13.755656,0.08643855
80,11.725678,0.065754056
81,12.137676,0.029468054
82,11.866749,0.043426443
83,12.955756,0.017769236
84,12.393097,0.0675071
85,11.623684,0.03127123
86,12.359586,0.04034141
87,14.383677,0.028892329
88,14.721311,0.016218387
89,14.112406,0.07602953
90,12.703583,0.1417202
91,12.402478,0.023749176
92,11.965262,0.03160743
93,12.720784,0.077405386
94,11.739655,0.019370884
95,12.813322,0.02883482
96,13.453856,0.07461641
97,11.762281,0.0467237
98,12.722287,0.19868194
99,12.909407,0.06404603
100,13.744021,0.086994216
